xdate;value
;
01.01.2014;65544523
;
01.02.2014;69984527
;
01.03.2014;79180543
;
01.04.2014;78839071
;
01.05.2014;74585462
;
01.06.2014;78413715
;
01.07.2014;79019610
;
01.08.2014;75673378
;
01.09.2014;76127474
;
01.10.2014;77778447
;
01.11.2014;74258188
;
01.12.2014;81451829
;
01.01.2015;63801710
;
01.02.2015;67282575
;
01.03.2015;76510672
;
01.04.2015;75047714
;
01.05.2015;73052040
;
01.06.2015;74665603
;
01.07.2015;73759125
;
01.08.2015;71439154
;
01.09.2015;70765641
;
01.10.2015;71852970
;
01.11.2015;69332221
;
01.12.2015;73035172
;
01.01.2016;54497510
;
01.02.2016;59266546
;
01.03.2016;62750302
;
01.04.2016;61823388
;
01.05.2016;61964003
;
01.06.2016;61621615
;
01.07.2016;61981657
;
01.08.2016;59056599
;
01.09.2016;57257207
;
01.10.2016;61750975
;
01.11.2016;56846535
;
01.12.2016;58976155
;
01.01.2017;48583305
;
01.02.2017;51236934
;
01.03.2017;67940650
;
01.04.2017;54652805
;
01.05.2017;50598430
;
01.06.2017;52844567
;
01.07.2017;54656796
;
01.08.2017;50520868
;
01.09.2017;50032647
;
01.10.2017;52903031
;
01.11.2017;48273399
;
01.12.2017;50864109
;
01.01.2018;41613774
;
01.02.2018;43876820
;
01.03.2018;49473311
